text,category,priority,split,department,is_roman
"Dear municipal team, residents near Clifton House 4-B near Jinnah Hospital emergency gate are affected because chamber se kala pani upar aa raha hai. shopkeepers say business has dropped by half because of it Requesting the department to act.",drainage,high,test,Drainage & Sewerage,1
wires are hanging loose from the pole — near the vegetablle market in Clifton near a maternity home. the fire brigade had to be called last night,electricity,critical,test,Electricity & Streetlights,0
"park par qabza kar liya gaya hai. Location: near the main mosque in Baldia Town near the children's park. a motorcyclist fell and broke his arm last night We request immediate attention. Bara meherbani ho gi, jaldi masla hal karain.",other,critical,train,General Administration,1
"Janab, the following problem at on M.A. Jinnah Road: line ka joint phat gaya hai aur pani zaya ho raha hai. it is causing inconvenience and should be fixed soon",water,medium,test,Water Supply,1
"street light band hai kai hafton se at on Maripur Road. This has been the case since Friday. we have been waiting for a response for a while now Bara meherbani ho gi, jaldi masla hal karain.",electricity,medium,train,Electricity & Streetlights,1
"Reporting an issue - residents near Phase 2, Liaquatabad are affected because a very large pothole has formed in the middle of the road. please add it to the regular maintenance list Regards.",road,low,test,Roads & Infrastructure,0
"the drain cover is broken and the sludge is exposed at Sector 5-C, SITE Area.",drainage,high,train,Drainage & Sewerage,0
Respected sir people are burning the garbage pile and the smoke enters our homes near Plot 22 Buffer Zone our family has been facing this for several days now It is causing daily inconvenience to the residents Kindly resolve it soon,waste,medium,train,Sanitation & Solid Waste,0
"kindly note that pani ki line leak ho rahi hai in front of on shahrah-e-faisal near the school van stop, and please treat this as urgent, the situation is getting worse daily",water,high,train,Water Supply,1
"I want to report that unannounced load shedding is running for eight hours a day at on Hub River Road, for the past six weeks. it is extremely urgent, please treat it as an emergency Please take action.",electricity,critical,train,Electricity & Streetlights,0
brokeen road with loose graavel everywhere at near the union council office in North Nazimabad !!!!,road,low,train,Roads & Infrastructure,0
"Please be informed that the road has caved in after the rain at Block 5, Jamshed Road, since yesterday. our family has been facing this for several days now We request immediate attention!!",road,medium,train,Roads & Infrastructure,0
"We the rwsidents of Street 14, Malir near Civil Hospital report that the srwerage line is chkoed and dirty water is on the street. it has become a serious health hazard for the entire block",drainage,high,test,Drainage & Sewerage,0
manhole ka dhakkan toota hua hai at on Khayaban-e-Ittehad and nobody has come to check since Friday. our family has been facing this for several days now. We have complained at the local office twice already with no result,drainage,medium,train,Drainage & Sewerage,1
the nallah beside the colony is choked with solid waste at on Hub River Road. This has been the case since this morning. our family has been facing this for several days now,drainage,medium,train,Drainage & Sewerage,0
"the manhole is spilling sewage continuously — on Maripur Road. it is causing inconvenience & should be fixed soon. We have been waiting for a response for a while now Again, the manhole is spilling sewage continuously.",drainage,medium,test,Drainage & Sewerage,0
a child was injured here yesterday & we fear a worse accident the pole mounted box is open & children can reach the terminals at Clifton near a madrassa. Thank u.,electricity,critical,train,Electricity & Streetlights,0
"At Gulistan-e-Johar near Ziauddin Hospital, bijli ka khamba tirha ho gaya hai since Ramzan. this is an emergency, please send a team today",electricity,critical,train,Electricity & Streetlights,1
the sewer line was never connected to the main trunk at Saddar Lane 3. This has been the case for more than 20 days. it is urgent because a school is right beside it,drainage,high,train,Drainage & Sewerage,0
"at near the mobile market in malir, sewage water has entered our lane for more than 20 days. it is causing daily inconvenience to the residents",drainage,medium,train,Drainage & Sewerage,0
Problem area on Rashid Minhas Road. Details: drug users gather here after dark and residents feel unsafe since this morning. Awaiting your response !!!!,safety,medium,test,Public Safety,0
"To the concerned department, there are deep potholes all along this sretch for the past six weeks at Gadap Town Sector 5-C. Thank you.",road,high,train,Roads & Infrastructure,0
a motorcyclist fell and broke his arm last night. A person has already been injured bcz of this construction malba has been dumped on the empty plot at on Hub River Road near Jinnah Hospital emergency gate. Kindly resolve it soon.,waste,critical,train,Sanitation & Solid Waste,0
"To the concerned department, street light band hai kai hafton se at Model Colony, since yesterday. low priority, only mentioning it so it is on record. There is no urgency, just registering it formally Shukriya.",electricity,low,train,Electricity & Streetlights,1
"At on Nishtar Road, the asphalt has peeled off and the base layr is exposed for more than 20 days. it is causing inconvenience and should be fixed soon Again, the asphalt has peeled off and the base layer is exposed.",road,medium,train,Roads & Infrastructure,0
"to the concerned department, the pedestrian crossing has no signal and children cross alone at near the community centre in kemari, since friday. please look into it in the coming days shukriya.",safety,medium,train,Public Safety,0
"JANAB, THE FOLLOWING PROBLEM AT STREET 14, GARDEN EAST: THE WATER SUB-LINE TO OUR BLOCK APPEARS TO HAVE BEEN DISCONNECTED. AN ACCIDENT HAPPENED AT THIS EXACT SPOT A FEW HOURS AGO. THE FIRE BRIGADE HAD TO BE CALLED LAST NIGHT",water,critical,test,Water Supply,0
sarak par bara gaddha ban gaya hai; this situation at near the katchi abadi in Kemari has continued for more than 20 days. this has become a serious health hazard for the whole area Awaiting your response.,road,high,test,Roads & Infrastructure,1
"i want to report that tere is rotting waste and an unbearable smell at near the flyover ramp in pechs near ziauddin hospital, for the last three days. someone is going to be killed if this is not fixed today we request immediate attention.",waste,critical,train,Sanitation & Solid Waste,0
"Janab, the following problem at near the vegetable market in Federal B Area: gandagi ki wajah se makhiyan bohot ho gayi hain. please treat this as urgent, the situation is getting worse daily Baar meherbani ho gi, jladi masla hal karain.",waste,high,test,Sanitation & Solid Waste,1
"Problem area on Sharae Noor Jehan. Details: stray cattle are tied up on public land and nobody removes them for almost a month. Meherbani ho gi. Again, stray cattle are tied up on public land and nobody removes them.",other,high,test,General Administration,0
"problem area lane 3, gulberg town. details: gandagi ki wajah se makhiyan bohot ho gayi hain since this morning. requesting the department to act. bara meherbani ho gi, jaldi masla hal karain.",waste,medium,test,Sanitation & Solid Waste,1
"kindly note that banner laga kar rasta band kar diya hai for several months at house 4-b, malir. we request immediate attention. bara meherbani ho gi, jaldi masla hal karain.",other,critical,train,General Administration,1
"At near the main mosque in Lyyari, an abandoned building has become a hideout for criminals for several months. a child was injured here yesterday and we fear a worse accident!!",safety,critical,train,Public Safety,0
"kachra utha nahi hai kai din se at Sector 11-B, Saddar. This has been the case for the last three days. we have been waiting for a response for a while now. Please arrange for the concerned staff to check it",waste,medium,train,Sanitation & Solid Waste,1
"two schools and a clinic are on the same stretch. A hospital entrance is barely fifty metres from here The reason is that the storm drain outlet has been sealed by an illegal construction, right at House 4-B, Liaquatabad near the children's park.",drainage,high,test,Drainage & Sewerage,0
"REPORTING FROM ON TARIQ ROAD NEAR ZIAUDDIN HOSPITAL: LINE KA JOINT PHAT GAYA HAI AUR PANI ZAYA HO RAHA HAI. BARA MEHERBANI HO GI, JALDI MASLA HAL KARAIN.",water,high,test,Water Supply,1
Respected sir the footpath tiles are uprooted and pedestrians walk on the road at DHA Phase 6 Street 14 for two days now we have been waiting for a response for a while now Kindly resolve it soon,road,medium,train,Roads & Infrastructure,0
"At near a bank branch in Federal B Area, the meter reading is being estimated and the bill is impossible for the last three days. it is a small issue but please note it for the record",electricity,low,train,Electricity & Streetlights,0
"gutter ubal raha hai at Liaquatabad Block 13-D. Bara meherbani ho gi, jaldi masla hal karain!!",drainage,medium,train,Drainage & Sewerage,1
whatever comes out of the tap is yellow and undrinkable; this situation at Surjani Town Block 5 has continued for over two weeks. two schools and a clinic are on the same stretch Meherbani ho gi.,water,high,test,Water Supply,0
"To the concerned department, the valve man is not opening our valve at the scheduled time at SITE Area near a primary school, since Ramzan. the whole block has been suffering and tempers are rising. It is on the main road and traffic jams for hours every morning Shukriya.",water,high,train,Water Supply,0
"To the concerned department, rash driving by mini buses has caused several near misses near near the union council office in Malir near a government girls school. the whole bolck has been suffering & tempers are rising Shukriya.",safety,high,train,Public Safety,0
there is rotting waste and an unbearable smell at on Sharae Noor Jehan This has been the case since this morning please arrange for the concerned staff to check it,waste,medium,train,Sanitation & Solid Waste,0
"For since Ramzan now, gande pani ki wajah se ghar me se bo aa rahi hai around near the vegetable market in Malir. Awaiting your response??!",drainage,high,test,Drainage & Sewerage,1
at on rashid minhas road near a government girls school kachra utha nahi hai kai din se for several months dengue and gastro cases have started appearing in the area!!,waste,high,train,Sanitation & Solid Waste,1
Kindly note that waste water has started seeping into the ground floor rooms since this morning at near the community centre in Model Colony. Shukriya.,drainage,low,train,Drainage & Sewerage,0
"Reporting from Federal B Area near a maternity home: the sewerage line is choked and dirty water is on the street. Again, the sewerage line is choked and dirty water is on the street.",drainage,high,test,Drainage & Sewerage,0
we have been waiting for a response for a while now. Please look into it in the coming days the drain cover is broken and the sludge is exposed at Gulistan-e-Johar. Please take action.,drainage,medium,train,Drainage & Sewerage,0
"I want to report that taar latak rahi hain khambe se for two days now at House 4-B, Federal B Area. Please take action. Bara meherbani ho gi, jaldi masla hal karain.",electricity,medium,train,Electricity & Streetlights,1
"At near the main mosque in Gulshan-e-Iqbal, the meter reading is being estimated and the bill is impossible since this morning. we have been waiting for a response for a while now",electricity,medium,train,Electricity & Streetlights,0
"Assalam o alaikum, a huge heap of trash is lying at the corner for two days now at Shah Faisal Colony Block 2. Please take action.",waste,critical,train,Sanitation & Solid Waste,0
"To the concerned department, there is no police patrolling and street crime has increased near PECHS Phase 2. our family has been facing this for several days now. It is causing daily inconvenience to the residents Thank you.",safety,medium,train,Public Safety,0
"safai wale hamari gali chor kar chale jtae hain — Model Colony Block A. we would appreciate it if the concerned staff could check it. This has been troubling the residents of our byilding Bara mherbani ho gi, jaldi masla hal karain.",waste,medium,test,Sanitation & Solid Waste,1
"Respected sir, wires are hanging loose from the pole for the past six weeks at near the flyover ramp in Malir. Thank u.",electricity,medium,train,Electricity & Streetlights,0
Problem area near the union council office in Shah Faisal Colony near the school van stop Details: gandagi ki wajah se makhiyan bohot ho gayi hain for the last three days Awaiting your response!!!,waste,high,test,Sanitation & Solid Waste,1
"the main water pipe is leaking badly — Block 2, Shah Faisal Colony. kindly arrange a visit sometime this week Again, the main water pipe is leaking badly.",water,medium,test,Water Supply,0
"the voltage is so low that no appliance runs, the fan barely turns; this situation at on Sharae Noor Jehan has continued for over two weeks. a large number of residents are suffering because of it. Shopkeepers say business has dropped by half because of it Awaiting your response.",electricity,high,test,Electricity & Streetlights,0
"Kindly note that the newly laid patch has already sunk in the middle since Ramzan at on M.A. Jinnah Road. Please take action. Again, the newly laid patch has already sunk in the middle.",road,high,train,Roads & Infrastructure,0
the road is uneven & bikes lose balance on it at near the mobile market in Buffer Zone. This has been the case since the last monsoon. part of the structure has already collapsed,road,critical,train,Roads & Infrastructure,0
"Respected sir, kachra kundi bhar gayi hai aur sarak par gir raha hai at on M.A. Jinnah Road, for two days now. it is causing daily inconvenience to the residents Kindly resolve it soon. Barra meerbani ho gi, jaldi maxla hal karain. Again, kachta kundi bhar gayi hai aur sarak par gir raha hai.",waste,medium,train,Sanitation & Solid Waste,1
Kindly note that the gutter has been overflowing since Friday at New Karachi. Kindly resolve it soon.,drainage,low,train,Drainage & Sewerage,0
please treat this as urgent the situation is getting worse daily The reason is that a huge heap of trash is lying at the corner right at Block 5 Gadap Town,waste,high,test,Sanitation & Solid Waste,0
"there are deep potholes all along this stretch — orangi town. please arrange for the concerned staff to check it again, there are deep potholes all along this stretch.",road,medium,test,Roads & Infrastructure,0
"paani ka pressure bohot kam hai. location: block 5, pechs near a maternity home. please treat this as urgent, the situation is getting worse daily shukriya. bara meherbani ho gi, jaldi masla hal karain. again, paani ka pressure bohot kam hai.",water,high,train,Water Supply,1
"waste water has started seeping into the ground floor rooms. Location: Phase 2, Nazimabad. we have been waiting for a response for a while now Thank you!!",drainage,medium,train,Drainage & Sewerage,0
there is a government school right next to it and hundreds of children pass daiyl the pedestrian crossing has no signal and children cross alone at near the union council offcie in Model Colony near a maternity home. Shuukriya.,safety,high,train,Public Safety,0
"PROBLEM AREA BLOCK 5, LYRAI. DETAILS: THE GUTTER HAS BEEN OVERFLOWING SINCE FRIDAY. REQUESTING THE DEPARTMENT TO ACT.",drainage,low,test,Drainage & Sewerage,0
sarak par bara gaddha ban gaya hai at near the katchi abadi in Landhi and nobody has come to check since Friday. please arrange for the concerned staff to check it,road,medium,train,Roads & Infrastructure,1
THERE IS A SERIOUS RISK OF A FATAL ACCIDENT HERE DISPENSARY HAFTE ME SIRF DO DIN KHULTI HAI AT NEAR THE UNION COUNCIL OFFICE IN GULBERG TOWN. SHUKRIYA.,other,critical,train,General Administration,1
"Respected sir, the electric pole is leaning dangerously at on Hub River Road, for more than 20 days. it is on the main road and traffic jams for hours every morning Shukriya??!",electricity,high,train,Electricity & Streetlights,0
our family has been facing this for several days now. It is causing inconvenience and sohuld be fixed soon street light band hai kai hafton se at on Khayaban-e-Ittehad. Kindly resolve it soon.,electricity,medium,train,Electricity & Streetlights,1
"for since friday now, voltage itna kam hai ke pankha nahi chalta around near a bank branch in dha phase 6. requesting the department to act.",electricity,low,test,Electricity & Streetlights,1
"construction malba has been dumped on the empty plot at Korangi and nobody has come to check since this morning. just a routine request, nothing urgent at all. There is no urgency, just registering it formally",waste,low,train,Sanitation & Solid Waste,0
"Assalam o alaikum, the road has caved in after the rain at Block 13-D, Gulshan-e-Iqbal, since yesterday. kindly send someone to look at it in the next few days. Please look into it in the coming days Thank you??!",road,medium,train,Roads & Infrastructure,0
Problem area on I.I. Chundrigar Road. Details: a shopkeeper has extenddd his shop over the wole footpath since Friday. Please do the needful.,other,medium,test,General Administration,0
"At near a bank branch in Manghopir near a madrassa, park par qabza kar liya gaya hai for more than 20 days. an elderly man fell into it and had to be taken to emergency Bara meherbani ho gi, jaldi masla hal karain.",other,critical,train,General Administration,1
"waste water has started seeping into the ground floor rooms at block 2, surjani town and nobody has come to check for two days now. there is no urgency, please handle it in the routine schedule",drainage,low,train,Drainage & Sewerage,0
water is coming with very low pressure at near the vegetable market in North Nazimabad and nobody has come to check for two days now we have been waiting for a response for a while now Please arrange for the concerned staff to check it,water,medium,train,Water Supply,0
"a large number of residents are suffering because of it. The whole block has been suffering and tempers are rising the boundary wall of the plot is about to collapse on passers-by at Block A, Gulshan-e-Iqbal near a primary school. Kindly resolve it soon.",safety,high,train,Public Safety,0
"For since yesterday now, no receipt is issued for the charges collected at the municipal counter around Lyari. Meherbani ho gi. Again, no receipt is issued for the charges collected at the municipal counter.",other,low,test,General Administration,0
Problem area near the mobile market in Lyari. Details: the drain is blocked and the water is not going anywhere for the past six weeks. Requesting the department to act.,drainage,medium,test,Drainage & Sewerage,0
"to the concerned department, the water that comes is muddy and snells of chemicals at near the mobile market in liaquatabad, since yesterday. it is a small issue but please note it for the record shukriya.",water,low,train,Water Supply,0
"gali me kooray ka bara dher lag gaya hai at Block A, Gulberg Town near the school van stop. This has been the case since Ramzan. it is urgent because a school is right beside it Bara meherbani ho gi, jaldi masla hal karain.",waste,high,train,Sanitation & Solid Waste,1
"the water line has burst and water is being wasted at lane 3, baldia town.",water,critical,train,Water Supply,0
"dengue and gastro cases have started appearing in the area transformer bar bar trip kar raha hai at Plot 22, Buffer Zone. Shukriya.",electricity,high,train,Electricity & Streetlights,1
"To the concerned department, the asphalt has peeled off and the base layer is exposed in front of nera the mobile market in Lyari, and it is causing inconvenience and should be fixed soon!!!",road,medium,train,Roads & Infrastructure,0
"Please be infirmed that the pedestrian crossing has no signal and children cross alone for more than 20 days at Gali No 7, Orangi Town near a government girls school. Kindly resolve it soon.",safety,critical,train,Public Safety,0
To the concerned department sarak par bara gaddha ban gaya hai for several months at on M A Jinnah Road Please take action,road,critical,train,Roads & Infrastructure,1
I want to report that the road has caved in after the rain near near the petrol pump in Surjani Town. a live wire is lying in the standing water Kindly resolve it soon.,road,critical,train,Roads & Infrastructure,0
"it is extremely urgent, please treat it as an emergency the sewerage line is choked and dirty water is on the street at on M.A. Jinnah Road. Shukriya. Again, the sewerage line is choked and dirty water is on the street !!!!",drainage,critical,train,Drainage & Sewerage,0
people are burning the garbage pile and the smoke enters our homes at near a bank branch in Model Colony.,waste,low,train,Sanitation & Solid Waste,0
"Kindly note that the water that comes is muddy and smells of chemicals in front of near the main mosque in Surjani Town, and please arrange for the concerned staff to check it",water,medium,train,Water Supply,0
the drain is blocked and the water is not going anywhere at near the vegetable market in Gulistan-e-Johar.,drainage,low,train,Drainage & Sewerage,0
"To the concerned department, the booster pump at the hydrant has stopped working at New Karachi, since the last monsoon. part of the structure has already collapsed Shukriya.",water,critical,train,Water Supply,0
"Kindly note that log kachra jala rahe hain, dhuan ghar me aata hai at Plot 22, Landhi, since Friday. our family has been facing this for several days now We request immediate attention.",waste,medium,train,Sanitation & Solid Waste,1
"I want to report that the gutter has been overflowing at near the katchi abadi in Korangi, since Friday. we have been waiting for a response for a while now We request immediate attention.",drainage,medium,train,Drainage & Sewerage,0
"Respected sir, the speed brekaer is broken and has sharp edges since Friday at near the katchi abadi in Saddar. Please take action.",road,low,train,Roads & Infrastructure,0
"the water line has burst and water is being wasted at on Shahrah-e-Faisal and nobody has come to check for the last three days. kindly send someone to look at it in the next few days. We have been waiting for a response for a while now Again, the water line has burst and water is being wasted!!!",water,medium,train,Water Supply,0
"this is to bring to your aytention that the following problem at street 14, gulistan-e-johar: black sewage is bubbling up from the drain inspection chamber. it is causimg inconvenience and should be fixed soon",drainage,medium,test,Drainage & Sewerage,0
"ASSALAM O ALAIKUM, THE DRAIN IS BLOCKED AND THE WATER IS NOT GOING ANYWHERE IN FRONT OF DHA PHASE 6 STREET 14, AND IT IS ON THE MAIN ROAD AND TRAFFIC JAMS FOR HOURS EVERY MORNING. MANY FAMILIES AND CHILDREN ARE AFFECTED BY IT EVERY SINGLE DAY",drainage,high,train,Drainage & Sewerage,0
"I want to report that sarak ki halat bohot kharab hai, gaari nikalna mushkil hai near Gulistan-e-Johar. it is a small issue but plz note it for the record. This is a minor issue, whenever it is convenient plz take action. Bara meherbani ho gi, jaldi masla hal karain.",road,low,train,Roads & Infrastructure,1
"For since yesterday now, wires are hanging loose from the pole around on Nishtar Road. Please do the needful.",electricity,low,test,Electricity & Streetlights,0
"At on I.I. Chundrigar Road near the children's park, safai bilkul nahi hoti yahan for almost a month. elderly patients live in this lane and cannot step outside. There is a government school right next to it and hundreds of children pass daily",waste,high,train,Sanitation & Solid Waste,1
"To the concerned department, there is rotting waste and an unbearable smell since Friday at Sector 11-B, Federal B Area. Please take action??!",waste,medium,train,Sanitation & Solid Waste,0
"TO THE CONCERNED DEPARTMENT, THE NEWLY LAID PATCH HAS ALREADY SUNK IN THE MIDDLE AT BLOCK 2, SADDAR, FOR THE LAST THREE DAYS. LOW PRIORITY, ONLY MENTIONING IT SO IT IS ON RECORD PLEASE TAKE ACTION.",road,low,train,Roads & Infrastructure,0
"PANI BILKUL NAHI AA RAHA — GULISTAN-E-JOHAR HOUSE 4-B. A MINOR PROBLEM WHICH CAN WAIT FOR THE NORMAL SCHEDULE BARA MEHERBANI HO GI, JALDI MASLA HAL KARAIN.",water,low,test,Water Supply,1
kindly note that speed breaker toota hua hai for two days now at near the bus stop in kemari. shukriya.,road,medium,train,Roads & Infrastructure,1
Please be informed that the manhole is spilling sewage continuously in front of Plot 22 Clifton and it is causing daily inconvenience to the residents,drainage,medium,train,Drainage & Sewerage,0
the booster pump at the hydrant has stopped working at Sector 5-C Garden East near Civil Hospital,water,critical,train,Water Supply,0
the water supply timing was shifted and now nothing reaches our end of the lane — site arrea phhase 2. please add it to the regular maintenance list,water,low,test,Water Supply,0
reporting an issue - residents near buffer zone street 14 near a maternity home are affected because there are deep potholes all along this stretch the wall gave way on one side and a shop was buried awaiting your response,road,critical,test,Roads & Infrastructure,0
plz be informed that hum ko roz tanker mangwana par raha hai near Sector 11-B New Karachi sewage has mixed into the drinking water line & people are vomiting Someone received an electric shock this morning Thank u,water,critical,train,Water Supply,1
"Kindly note that the meter readding is being estimated and the bill is impossible near Plot 22, Gulshan-e-Iqbal. there is no urrgency, please handle it in the routine schedule. Just a routine requesg, nothing urgent at all Please take action.",electricity,low,train,Electricity & Streetlights,0
I want to report that hum ko roz tanker mangwana par raha hai near Federal B Area Phase 2. this is only a suggestion for improvement Kindly resolve it soon.,water,low,train,Water Supply,1
"bijli ka khamba tirha ho gaya hai at Jamshed Road Block 2 and nobody has come to check for two days now. this is a minor issue, whenever it is convenient Bara meherbani ho gi, jaldi masla hal karain.",electricity,low,train,Electricity & Streetlights,1
"plz be informed that there r sparks coming from the connection at night at plot 22, kemari, since ramzan. plz look into it in the coming days kindly resolve it soon. again, there r sparks coming from the connection at night.",electricity,medium,train,Electricity & Streetlights,0
"Assalam o alaikum, hum ko roz tanker mangwana par raha hai for two days now at Plot 22, Gulberg Town. Thank you.",water,medium,train,Water Supply,1
"Respected sir, the boundary wall of the plot is about to collapse on passers-by in front of Orangi Town Plot 22 near Civil Hospital, and someone is going to be killed if this is not fixed today. An ambulance could not reach the hospital gate because of it Again, the boundary wall of the plot is about to collapse on passers-by.",safety,critical,train,Public Safety,0
Problem area near the community centre in Clifton. Details: sewage water has entered our lane for the last three days. Regards.,drainage,medium,test,Drainage & Sewerage,0
"LOCATION DEFENCE VIEW - THE ELECTRICITY FEEDER FOR OUR LANE TRIPS EVERY TIME AN APPLIANCE IS SWITCHED ON, ONGOING SINCE YESTERDAY. IT IS CAUSING INCONVENIENCE AND SHOULD BE FIXED SOON PLEASE DO THE NEEDFUL.",electricity,medium,test,Electricity & Streetlights,0
"Assalam o alaikum, the valve man is not opening our valve at the scheduled time near Plt 22, Korangi near a priimary school. many families and children are affected by it every single day Kindly resolve it soon. Again, the valve man is not opening our valve at the scheduled timee.",water,high,train,Water Supply,0
"Assalam o alaikum, a pack of stray dogs is attacking people near Malir. we have complained at the local office twice already with no result Kindly resolve it soon !!!!",safety,medium,train,Public Safety,0
"Assalam o alaikum, road pe khudai kar ke chor di gayi hai since the last monsoon at near the mobile market in Model Colony. Shukriya.",road,high,train,Roads & Infrastructure,1
"Prolem area Block A, Gulistan-e-Johar. Details: an open manhole in the middle of the walkway is a death trap for the past six weeks. Awaiting your response. Again, an oen manholle in the middle of the walkway is a death trap.",safety,high,test,Public Safety,0
the valve man is not opening our valve at the scheduled time at Federal B Area and nobody has come to check for two days noe. it is causing daily inconvenience to the residents,water,medium,train,Water Supply,0
"Kindly note that the street lights have not been working near House 4-B, Landhi. please arrange for the concerned staff to check it Please take action.",electricity,medium,train,Electricity & Streetlights,0
"Please be informed that the speed breaker is broken and has sharp edges in font of Garden East Block 13-D, and we have been waiting for a response for a while now. It is causing inconvenience and should be fixed soon",road,medium,train,Roads & Infrastructure,0
the refuse dump beisde our wall has doubled in size this month; this situation at Block A Gulistan-e-Johar near a maternity home has continued since the last monsoon many families and children are affected by it every single day Regards,waste,high,test,Sanitation & Solid Waste,0
THE SEWERAGE LINE IS CHOKED & DIRTY WATER IS ON THE STREET. LOCATION: NEAR THE VEGETABLE MARKET IN LANDHI. IT IS URGENT BECAUSE A SCHOOL IS RIGHT BESIDE IT THANK YOU.,drainage,high,train,Drainage & Sewerage,0
we have complained at the local office twice already wid no result yahan mobile snatching bohot ho rahi hai at Surjani Town Block 2. plz take action.,safety,medium,train,Public Safety,1
the kachra kundi was removed and now everyone dumps in the open at Plot 22 Jamshed Road near Civil Hospital and nobody has come to check since this morning many families and children are affected by it every single day,waste,high,train,Sanitation & Solid Waste,0
"We the residents of Lane 3, Defence Viwe near a primary school report that thee has been no water supply in our line. this is an emergency and needs immediate attention",water,critical,test,Water Supply,0
"Please be informed that awara kutte logon ko kaat rahe hain since Friday at Kemari. Kindly resolve it soon. Bara meherbani ho gi, jaldi masla hal karain.",safety,low,train,Public Safety,1
I want to report that the notice board at the union council has not been updated for months near near the union council office in Model Colony. please look into it in the coming days Kindly resolve it soon.,other,medium,train,General Administration,0
"At House 4-B, Buffer Zone, a trench dug by the gas company was never filled back for the last three days. just a routine request, nothing urgent at all",road,low,train,Roads & Infrastructure,0
"I want to report that a huge heap of trash is lying at the corer at Block 13-D, Federal B Area, for the last three days. we have been waiting for a response for a while now We request immedaite attention. Again, a huge heap of trash is lying at the corner.",waste,medium,train,Sanitation & Solid Waste,0
"gali me kooray ka bara dher lag gaya hai at near the vegetable market in Gulberg Town near the children's park. This has been the case for over two weeks. the entire street of about forty houses is affected. It is on the main road and traffic jams for hours every morning Bara meherbani ho gi, jaldi masla hal karain.",waste,high,train,Sanitation & Solid Waste,1
"Location Liaquatabad House 4-B - there is rotting waste and an unbearable smell, ongoihg since Friday. we would appreciate it if the concerned staff could check it. This has been troubling the residents of our building Requesting the department to act !!!!",waste,medium,test,Sanitation & Solid Waste,0
Reporting frm near the main mosque in Buffer Zone: counter par rasid nahi di jati.,other,medium,test,General Administration,1
kindly note that road bilkul toot gayi hai for the last three days at on maripur road. thank you.,road,medium,train,Roads & Infrastructure,1
"KINDLY NOTE THAT PARK PAR QABZA KAR LIYA GAYA HAI IN FRONT OF FEDERAL B AREA BLOCK 5, AND PLZ ARRANGE FOR THE CONCERNED STAFF TO CHECK IT. WE HAVE BEEN WAITING FOR A RESPONSE FOR A WHILE NOW",other,medium,train,General Administration,1
"For for more than 20 days now, a dangerous dilapidated structure is about to fall on people using the footpath around on Hub River Road. Regards!!",safety,high,test,Public Safety,0
"THE TRANSFORMER KEEPS TRIPPING AGAIN AND AGAIN AT BLOCK 2, PECHS.",electricity,critical,train,Electricity & Streetlights,0
plz arrange for the concerned staff to check it. Our family has been facing this for several daus now gutter ubal raha hai at near a bank branch in Garden East. Thank u.,drainage,medium,train,Drainage & Sewerage,1
"I want to report that log kachra jala rahe hain, dhuan ghar me aata hai for almost a month at Nazimabad Gali No 7. We request immediate attention.",waste,high,train,Sanitation & Solid Waste,1
the meter reading is being estimated & the bill is impossible at Gulberg Town near a primary school.,electricity,high,train,Electricity & Streetlights,0
"At Block 5, Bahadurabad, half the lights on this stretch wree never replaced after the storm since Ramzan. there is no urgency, just registerign it formally. This is only a suggestion for improvement !!!!",electricity,low,train,Electricity & Streetlights,0
the valve man is not opening our valve at the scheduled time at near the bus stop in Model Colony near the school van stop. This has been the case since Ramzan. a live wire is lying in the standing water,water,critical,train,Water Supply,0
paani ka pressure bohot kam hai at Sector 11-B Baldia Town,water,critical,train,Water Supply,1
our family has been facing this for several days now the sewer line was never connected to the main trunk at near the main mpsque in Liaquatabad. Shukriya.,drainage,medium,train,Drainage & Sewerage,0
"the drain cover is broken and the sludge is exposed. Location: near a bank branch in Bahadurabad. a large number of residents are suffering because of it We request immediate attention. Again, the drain cover is broken and the sludge is exposed.",drainage,high,train,Drainage & Sewerage,0
"At Block 13-D, PECHS near Jinnah Hospital emergency gate, rain water from the last spell has still not drained out since the last monsoon. sewage has mixed into the drinking water line and people are vomiting",drainage,critical,train,Drainage & Sewerage,0
"gali me kooray ka bara dher lag gaya hai at near the mobile market in Federl B Area and nobody has come to check for the past six weeks. kindly look into it whenever a team is free Bara meherbani ho gi, jaldi masla hal karain.",waste,low,train,Sanitation & Solid Waste,1
the road is uneven and bikes lose balance on it at on University Road This has been the case since this morning there is no urgency just registering it formally There is no urgency please handle it in the routine schedule,road,low,train,Roads & Infrastructure,0
reporting an issue - the following problem at near the vegetable market in liaquatabad: park par ghair samaji anasir ka qabza hai. a large number of residents are suffering because of it,safety,high,test,Public Safety,1
"To the concerned department, garbage has not been collected from our street in front of near the community centre in Baldia Town, and our family has been facing this for several days now. We have been waiting for a response for a while now!!",waste,medium,train,Sanitation & Solid Waste,0
our family has been facing this for several days now the garbage container is overflowing onto the road at on nishtar road. kindly resolve it soon.,waste,medium,train,Sanitation & Solid Waste,0
"a school van skidded and very nearly overturned. A person has already been injured because of this The reason is that sewage water has entered our lane, right at Gadap Town near a madrassa. Again, sewage water has entered our lane.",drainage,critical,test,Drainage & Sewerage,0
"For for several months now, the contractor's truck skips our lane every single round around Block A, Nazimabad near the school van stop. Meherbani ho gi. Again, the contractor's truck skips our lane every single round.",waste,high,test,Sanitation & Solid Waste,0
